fold,AUC,KS,F1@0.5,Prec@0.5,Rec@0.5
1,0.6729619086056922,0.24064411334777047,0.375,0.26335174953959484,0.6509863429438544
2,0.6720367144515408,0.2410267102531271,0.3757482732156562,0.26972234464521816,0.6191198786039454
3,0.6701670891854447,0.23846771935660238,0.3706678566116317,0.2625922023182297,0.6299292214357938
4,0.6824850251133656,0.268884432125716,0.3880331753554503,0.2744030163385002,0.6622851365015167
5,0.6775713161361347,0.24609358599561915,0.37525956689409673,0.26553316540722083,0.6395348837209303
