decile,y_rate,count,score_mean
8,0.3412490650710546,5348,0.6372222974727322
7,0.21578160059835452,5348,0.5197660410869019
6,0.19839192221391175,5348,0.5043342788539904
5,0.2150336574420344,5348,0.4960383233180988
4,0.1944652206432311,5348,0.48714468630965824
3,0.14304412864622287,5348,0.4587805204437119
2,0.10321615557217652,5348,0.41550140699750837
1,0.10340314136125654,5348,0.3214438667660995
0,0.16716529543754674,10696,0.029377042912900983
