fold,n_train,n_valid,pos_rate_train,pos_rate_valid,auc_valid,val_time_min,val_time_max
1,7844,8913,0.18995410504844468,0.14742510939077752,0.5595761518729032,,
2,16757,8913,0.1731216804917348,0.18860092000448783,0.5947945017978131,,
3,25670,8913,0.1753408648227503,0.16604959048580725,0.6880170059740892,0.90936,1.1314944
4,34583,8913,0.1738426394471272,0.19342533378211602,0.6708829292238496,1.1314944,1.1761632
5,43496,8915,0.1773496413463307,0.22299495232753785,0.7044265012625196,1.1761632,1.41264
