feature,importance
interest_rate,16.302001533723782
level,7.203895935431719
term,6.367840473958909
balance_accounts,5.945839855436841
stmt_amt_min,5.327557943505184
days_since_issue_time,5.047343319745777
zip_code,3.9630195058983992
title,3.7487316481166446
residence,3.6594290498261905
loan,3.5384303632112664
balance,3.2397998660684495
days_since_record_time,3.1892799516765415
career,2.7999547868599532
days_since_history_time,2.738795868195432
balance_limit,2.54506041099146
total_accounts,1.9528294307417107
stmt_in_min,1.6697743258602689
stmt_in_std,1.4239880225609953
stmt_in_mean,1.3443612151656736
stmt_out_median,1.342700187325391
stmt_amt_mean,1.1858239697599844
stmt_days_since_first,1.1483932863823714
stmt_days_since_last,1.1056124055755876
stmt_in_median,0.9933820435585112
stmt_in_sum,0.9775734086440491
stmt_amt_sum,0.9454453928440104
stmt_amt_std,0.9433875497304589
stmt_out_std,0.9080699561884351
stmt_amt_median,0.9041895724494156
stmt_out_sum,0.8921789480438992
stmt_active_days,0.8815085502221093
stmt_in_max,0.8376823044445345
stmt_amt_max,0.7807644039106145
stmt_txn_intensity_per_day,0.7761625586902893
stmt_out_mean,0.7432814840650188
stmt_out_max,0.6699797552914742
stmt_txn_count,0.6694029282124785
stmt_out_min,0.6477447260311591
installment,0.4191242337032305
syndicated,0.21965882795177918
