bin,auc
0,0.5
1,0.518427522595471
2,0.6270820346590201
3,0.6703010681876053
4,0.6413257173801077
5,0.6279330990436607
6,0.6569407224486179
7,0.6435395837030009
8,0.6536093357680894
9,0.6660307685157871
