feature,importance,fold,seed
title,3.209291170442181,1,42
career,4.679454187818874,1,42
zip_code,3.2134602963306143,1,42
residence,5.46950623846291,1,42
loan,3.458860586539626,1,42
term,5.793791921626454,1,42
interest_rate,17.231363547479862,1,42
syndicated,0.40006096153403375,1,42
installment,0.43379034957246815,1,42
total_accounts,1.3917276523045723,1,42
balance_accounts,2.150232365665742,1,42
balance_limit,2.946447610170136,1,42
balance,3.1147351735849416,1,42
level,12.416637475632227,1,42
days_since_issue_time,8.192649248545715,1,42
days_since_record_time,2.790332531915414,1,42
days_since_history_time,1.6695039626323251,1,42
stmt_txn_count,0.09116421494070565,1,42
stmt_amt_sum,0.9646537806847787,1,42
stmt_amt_mean,0.9355471145506081,1,42
stmt_amt_std,0.3858799021485886,1,42
stmt_amt_min,1.081324360155763,1,42
stmt_amt_max,0.3082884868925793,1,42
stmt_amt_median,0.9470899287649862,1,42
stmt_in_sum,1.7655212046877986,1,42
stmt_in_mean,1.4838010419019854,1,42
stmt_in_std,1.525708679425863,1,42
stmt_in_min,2.049402174372848,1,42
stmt_in_max,0.6667159372022977,1,42
stmt_in_median,0.5267675887644352,1,42
stmt_out_sum,0.6100579226364469,1,42
stmt_out_mean,0.7679527259373087,1,42
stmt_out_std,1.0142748656479075,1,42
stmt_out_min,0.3970075461402773,1,42
stmt_out_max,0.6006111160834213,1,42
stmt_out_median,0.36165791485081644,1,42
stmt_active_days,0.8656515425982766,1,42
stmt_days_since_first,1.4873043382693434,1,42
stmt_days_since_last,1.0647385662534516,1,42
stmt_txn_intensity_per_day,1.5370337668314256,1,42
title,3.6576899307281225,1,3407
career,4.093411485163863,1,3407
zip_code,4.988427040066202,1,3407
residence,4.10931812051318,1,3407
loan,4.555769696912403,1,3407
term,3.2955397086446423,1,3407
interest_rate,13.201620523375313,1,3407
syndicated,0.7644039734130449,1,3407
installment,0.632088418971966,1,3407
total_accounts,2.514815916922093,1,3407
balance_accounts,2.986470744583135,1,3407
balance_limit,2.3003442898210635,1,3407
balance,3.691095252701092,1,3407
level,9.636668379795633,1,3407
days_since_issue_time,6.835196679298722,1,3407
days_since_record_time,1.6600910893774798,1,3407
days_since_history_time,2.6702211814768995,1,3407
stmt_txn_count,1.59499813951648,1,3407
stmt_amt_sum,0.9796752708297478,1,3407
stmt_amt_mean,0.8972481024396598,1,3407
stmt_amt_std,0.6887851053914542,1,3407
stmt_amt_min,1.223685835837435,1,3407
stmt_amt_max,1.3094399758617203,1,3407
stmt_amt_median,1.3138411571211022,1,3407
stmt_in_sum,1.731529454262098,1,3407
stmt_in_mean,1.8054642439494122,1,3407
stmt_in_std,1.3645087396764408,1,3407
stmt_in_min,1.4072996356792937,1,3407
stmt_in_max,1.024969317671188,1,3407
stmt_in_median,0.9602961083441771,1,3407
stmt_out_sum,1.081739882962316,1,3407
stmt_out_mean,1.063751625425602,1,3407
stmt_out_std,1.0759857747016615,1,3407
stmt_out_min,1.1848288139943077,1,3407
stmt_out_max,1.0199024614025525,1,3407
stmt_out_median,0.7720309302850797,1,3407
stmt_active_days,1.360758375452324,1,3407
stmt_days_since_first,1.9146205914640448,1,3407
stmt_days_since_last,1.4431028612061634,1,3407
stmt_txn_intensity_per_day,1.1883651647608549,1,3407
title,3.8225520969604063,2,42
career,0.519091731030726,2,42
zip_code,3.6194088406438025,2,42
residence,3.203956214395748,2,42
loan,1.593169575324725,2,42
term,10.310950264201786,2,42
interest_rate,23.753959514314918,2,42
syndicated,0.0,2,42
installment,0.0,2,42
total_accounts,0.0,2,42
balance_accounts,8.007123100854741,2,42
balance_limit,1.7852943859735881,2,42
balance,1.357259776677837,2,42
level,9.419237058844903,2,42
days_since_issue_time,2.610915753231682,2,42
days_since_record_time,6.737105713849278,2,42
days_since_history_time,0.6354345333222202,2,42
stmt_txn_count,0.0,2,42
stmt_amt_sum,1.346373964106478,2,42
stmt_amt_mean,2.0359507911408823,2,42
stmt_amt_std,1.4918068446562962,2,42
stmt_amt_min,9.20600424596493,2,42
stmt_amt_max,0.6066566956502025,2,42
stmt_amt_median,0.0,2,42
stmt_in_sum,0.0,2,42
stmt_in_mean,0.3538850092162185,2,42
stmt_in_std,0.3236278575066812,2,42
stmt_in_min,0.5942257626758207,2,42
stmt_in_max,0.07351211523372744,2,42
stmt_in_median,0.44806368725615847,2,42
stmt_out_sum,0.0,2,42
stmt_out_mean,0.7391020945198524,2,42
stmt_out_std,0.7822599803745527,2,42
stmt_out_min,0.12375394569598032,2,42
stmt_out_max,0.0,2,42
stmt_out_median,1.4118306244995937,2,42
stmt_active_days,0.0,2,42
stmt_days_since_first,1.4930400818911707,2,42
stmt_days_since_last,1.082913674052151,2,42
stmt_txn_intensity_per_day,0.5115340659329423,2,42
title,2.9717964604991303,2,3407
career,3.041467191994641,2,3407
zip_code,5.688848746027897,2,3407
residence,2.8544250781346934,2,3407
loan,5.1201150611770005,2,3407
term,3.009538415249556,2,3407
interest_rate,11.070080698375426,2,3407
syndicated,0.27672114552676597,2,3407
installment,0.6876328193451161,2,3407
total_accounts,2.4280315550782703,2,3407
balance_accounts,5.436048940126857,2,3407
balance_limit,3.7075927571166645,2,3407
balance,6.150400906656006,2,3407
level,5.35050299755821,2,3407
days_since_issue_time,6.327299080372255,2,3407
days_since_record_time,4.489674989146273,2,3407
days_since_history_time,4.433012955411458,2,3407
stmt_txn_count,0.8011959170358908,2,3407
stmt_amt_sum,1.3010999592655166,2,3407
stmt_amt_mean,0.9282638856356813,2,3407
stmt_amt_std,0.7443477343943902,2,3407
stmt_amt_min,3.44921357697781,2,3407
stmt_amt_max,1.0659268746079553,2,3407
stmt_amt_median,1.410761682759082,2,3407
stmt_in_sum,1.2395945395588137,2,3407
stmt_in_mean,1.5304828799350705,2,3407
stmt_in_std,1.7121602504208562,2,3407
stmt_in_min,1.6115768070801706,2,3407
stmt_in_max,1.0727726402873814,2,3407
stmt_in_median,1.1884015046502359,2,3407
stmt_out_sum,1.2316723772336486,2,3407
stmt_out_mean,0.6706098331737879,2,3407
stmt_out_std,0.9344698836082937,2,3407
stmt_out_min,0.5433722350553026,2,3407
stmt_out_max,0.7173780444799907,2,3407
stmt_out_median,0.9744960277636576,2,3407
stmt_active_days,1.2598174527908241,2,3407
stmt_days_since_first,0.7302735417481461,2,3407
stmt_days_since_last,1.1013083612501118,2,3407
stmt_txn_intensity_per_day,0.7376141924911822,2,3407
title,3.2043405960636053,3,42
career,2.9311410490012877,3,42
zip_code,4.585771997296423,3,42
residence,3.3641877450511304,3,42
loan,4.0408338120308285,3,42
term,4.819817655875398,3,42
interest_rate,14.455944364029603,3,42
syndicated,0.19047731513946892,3,42
installment,0.5759706616602696,3,42
total_accounts,2.6896802889020024,3,42
balance_accounts,6.272688476452083,3,42
balance_limit,2.7145441953294998,3,42
balance,3.680992041570481,3,42
level,6.276979609873514,3,42
days_since_issue_time,5.354627110099645,3,42
days_since_record_time,3.2683757282187176,3,42
days_since_history_time,4.2692585455997305,3,42
stmt_txn_count,0.7494118553808163,3,42
stmt_amt_sum,0.5697461660276942,3,42
stmt_amt_mean,1.4408031756237902,3,42
stmt_amt_std,0.5309900916367045,3,42
stmt_amt_min,4.776123910664497,3,42
stmt_amt_max,0.954678927512956,3,42
stmt_amt_median,1.120100895022907,3,42
stmt_in_sum,1.2300740145675564,3,42
stmt_in_mean,1.1557009939587497,3,42
stmt_in_std,1.7417871590924152,3,42
stmt_in_min,1.8026093557574079,3,42
stmt_in_max,0.6046038446410656,3,42
stmt_in_median,1.293609557894499,3,42
stmt_out_sum,0.7942267224873886,3,42
stmt_out_mean,0.64273413303251,3,42
stmt_out_std,0.9648896958946022,3,42
stmt_out_min,0.750156281147679,3,42
stmt_out_max,0.7873334466877304,3,42
stmt_out_median,1.6254023820360761,3,42
stmt_active_days,0.9147848488507516,3,42
stmt_days_since_first,0.910821041771225,3,42
stmt_days_since_last,1.3393665679912332,3,42
stmt_txn_intensity_per_day,0.6044137401260392,3,42
title,2.693975338432075,3,3407
career,3.2531463614422917,3,3407
zip_code,4.132453319438236,3,3407
residence,3.4190473569330497,3,3407
loan,3.4556796057504946,3,3407
term,5.851766868848963,3,3407
interest_rate,14.187733889205818,3,3407
syndicated,0.10192441036306069,3,3407
installment,0.6669505988533941,3,3407
total_accounts,1.6468067530764365,3,3407
balance_accounts,6.565003124554321,3,3407
balance_limit,2.820835433817769,3,3407
balance,3.0849377885085807,3,3407
level,7.0154457176082685,3,3407
days_since_issue_time,4.563746199488135,3,3407
days_since_record_time,3.7673926049967488,3,3407
days_since_history_time,3.04904694870945,3,3407
stmt_txn_count,0.9845966354635379,3,3407
stmt_amt_sum,1.2968278061240435,3,3407
stmt_amt_mean,1.5234057214393242,3,3407
stmt_amt_std,0.9088354153916154,3,3407
stmt_amt_min,4.8832497652633515,3,3407
stmt_amt_max,1.073838683745645,3,3407
stmt_amt_median,0.8466332079359304,3,3407
stmt_in_sum,0.8608302585175885,3,3407
stmt_in_mean,1.4178394379477264,3,3407
stmt_in_std,1.753432378902856,3,3407
stmt_in_min,1.9412237619826382,3,3407
stmt_in_max,1.104768340165951,3,3407
stmt_in_median,1.3586139168301943,3,3407
stmt_out_sum,0.9513760364727972,3,3407
stmt_out_mean,1.1133455490837925,3,3407
stmt_out_std,1.047614060120804,3,3407
stmt_out_min,0.525891988879406,3,3407
stmt_out_max,0.8542664800115645,3,3407
stmt_out_median,1.171943576023194,3,3407
stmt_active_days,1.1279238455396559,3,3407
stmt_days_since_first,1.0671413756284363,3,3407
stmt_days_since_last,1.0356570063350956,3,3407
stmt_txn_intensity_per_day,0.8748524321677633,3,3407
title,4.327034312995067,4,42
career,2.8634156347712496,4,42
zip_code,3.947256137493292,4,42
residence,3.1233873146529527,4,42
loan,3.9927294526187818,4,42
term,5.420775095299361,4,42
interest_rate,15.387890939594172,4,42
syndicated,0.146096920604461,4,42
installment,0.2517499704884915,4,42
total_accounts,2.548693293898139,4,42
balance_accounts,6.166025655692159,4,42
balance_limit,2.517338171082548,4,42
balance,3.6398282042260717,4,42
level,5.284697855168348,4,42
days_since_issue_time,4.80723026602026,4,42
days_since_record_time,2.8653179176786234,4,42
days_since_history_time,3.656981488363989,4,42
stmt_txn_count,0.9723877478598002,4,42
stmt_amt_sum,0.6093214569873372,4,42
stmt_amt_mean,1.150370507605182,4,42
stmt_amt_std,1.386582515038911,4,42
stmt_amt_min,4.882302640723161,4,42
stmt_amt_max,0.7529655385578831,4,42
stmt_amt_median,1.2176845368717526,4,42
stmt_in_sum,0.6850342194278397,4,42
stmt_in_mean,2.046660994160792,4,42
stmt_in_std,1.7842408763719673,4,42
stmt_in_min,1.9471746899461766,4,42
stmt_in_max,0.9666744291132832,4,42
stmt_in_median,0.9909321108828126,4,42
stmt_out_sum,1.2229740445197534,4,42
stmt_out_mean,0.6656909720407367,4,42
stmt_out_std,0.6396871687693138,4,42
stmt_out_min,1.0457747924049399,4,42
stmt_out_max,0.6555858946869767,4,42
stmt_out_median,1.6550913087457675,4,42
stmt_active_days,1.150778068616479,4,42
stmt_days_since_first,1.1627539846932253,4,42
