fold,n_train,n_valid,pos_rate_train,pos_rate_valid,auc_valid,val_time_min,val_time_max
1,7844,8913,0.20537990821009688,0.19297655110512735,0.6413679804978354,2.621991400462963e-06,2.7780159259259264e-06
2,16757,8913,0.19914065763561498,0.18422528890384832,0.6464871125528124,2.7780159259259264e-06,2.9269987037037033e-06
3,25670,8913,0.19361121932216596,0.1822057668573993,0.6400399549358065,2.926998877314816e-06,3.0799947453703716e-06
4,34583,8913,0.19130786802764363,0.18927409401997083,0.6404106819033094,3.0799948379629638e-06,3.2440159259259267e-06
5,43496,8915,0.1906152289865735,0.1562535053280987,0.6706903110531195,3.2440159259259267e-06,4.813991068344908e-06
