feature,importance,fold,seed
title,3.2300955695116387,1,42
career,4.491494647107034,1,42
zip_code,4.142319246947538,1,42
residence,4.032396561907719,1,42
loan,4.147091217779041,1,42
term,2.9666575359576584,1,42
interest_rate,12.441887340088277,1,42
syndicated,0.6121001314177543,1,42
installment,0.6759194462866392,1,42
total_accounts,2.9891450495361664,1,42
balance_accounts,3.2430032604952213,1,42
balance_limit,3.530496842245774,1,42
balance,3.988518260480459,1,42
level,7.780795962945422,1,42
days_since_issue_time,6.557914324881691,1,42
days_since_record_time,2.6752083514941467,1,42
days_since_history_time,3.0279014289975783,1,42
stmt_txn_count,0.7896536871616346,1,42
stmt_amt_sum,1.1249513746482749,1,42
stmt_amt_mean,1.5958638953343232,1,42
stmt_amt_std,1.0576204112781826,1,42
stmt_amt_min,1.4851138239739692,1,42
stmt_amt_max,1.0993895510511709,1,42
stmt_amt_median,1.3188784716195998,1,42
stmt_in_sum,1.4582532176786538,1,42
stmt_in_mean,1.5132228210526113,1,42
stmt_in_std,2.204731954661509,1,42
stmt_in_min,1.9632087587805869,1,42
stmt_in_max,1.1424083821790758,1,42
stmt_in_median,1.2503372074693022,1,42
stmt_out_sum,1.4299412941822498,1,42
stmt_out_mean,0.8422573569359235,1,42
stmt_out_std,1.471974067289414,1,42
stmt_out_min,0.9519877070489232,1,42
stmt_out_max,0.7704284435764854,1,42
stmt_out_median,0.728583947059138,1,42
stmt_active_days,1.0173557649321077,1,42
stmt_days_since_first,1.5341937233095977,1,42
stmt_days_since_last,1.383191690739635,1,42
stmt_txn_intensity_per_day,1.3335072699578818,1,42
title,2.7635285400112743,1,3407
career,4.424116193986461,1,3407
zip_code,3.905651000287879,1,3407
residence,4.980317594465888,1,3407
loan,4.0783125825925985,1,3407
term,4.036209946614635,1,3407
interest_rate,12.617256735242242,1,3407
syndicated,0.46199007445147305,1,3407
installment,0.5835251668236509,1,3407
total_accounts,2.0580209684338966,1,3407
balance_accounts,2.5734953624673715,1,3407
balance_limit,2.4672236413616995,1,3407
balance,2.8507441815900667,1,3407
level,11.462831447951526,1,3407
days_since_issue_time,6.984609653606928,1,3407
days_since_record_time,3.170542904629952,1,3407
days_since_history_time,2.8974585716154206,1,3407
stmt_txn_count,1.1925593840660493,1,3407
stmt_amt_sum,1.4539435483371745,1,3407
stmt_amt_mean,1.7106306002837208,1,3407
stmt_amt_std,1.1686524648534353,1,3407
stmt_amt_min,0.9180930562021014,1,3407
stmt_amt_max,0.9753378372730361,1,3407
stmt_amt_median,1.0486622012885305,1,3407
stmt_in_sum,1.4142156597060849,1,3407
stmt_in_mean,1.9514813810490965,1,3407
stmt_in_std,1.2610217037053424,1,3407
stmt_in_min,1.5612901526075675,1,3407
stmt_in_max,0.7918981865216281,1,3407
stmt_in_median,1.2681592078397819,1,3407
stmt_out_sum,1.247976235943335,1,3407
stmt_out_mean,1.004449846556461,1,3407
stmt_out_std,1.5186968406929109,1,3407
stmt_out_min,0.594527192444696,1,3407
stmt_out_max,0.7494286125439966,1,3407
stmt_out_median,1.1983204302273331,1,3407
stmt_active_days,1.0280749315720832,1,3407
stmt_days_since_first,1.2994295806697702,1,3407
stmt_days_since_last,1.29088030281895,1,3407
stmt_txn_intensity_per_day,1.0364360766639746,1,3407
title,3.2149366964465527,2,42
career,3.2977806634853373,2,42
zip_code,5.180536732311888,2,42
residence,2.9075611470456675,2,42
loan,4.622957955906972,2,42
term,3.485109262461493,2,42
interest_rate,11.616262078715378,2,42
syndicated,0.22629686568563853,2,42
installment,0.7335610227796565,2,42
total_accounts,2.404875002012597,2,42
balance_accounts,5.850585076239948,2,42
balance_limit,3.302784501883337,2,42
balance,5.584102643910671,2,42
level,6.508845131026902,2,42
days_since_issue_time,6.421373957249748,2,42
days_since_record_time,3.6317590663948867,2,42
days_since_history_time,3.069537501702583,2,42
stmt_txn_count,0.8541976510595091,2,42
stmt_amt_sum,1.1579360263352358,2,42
stmt_amt_mean,0.9283354568049388,2,42
stmt_amt_std,1.146706311304332,2,42
stmt_amt_min,2.7331428912120663,2,42
stmt_amt_max,1.038060136646154,2,42
stmt_amt_median,1.1285542867757328,2,42
stmt_in_sum,1.4786685885824344,2,42
stmt_in_mean,1.5606123190767076,2,42
stmt_in_std,1.561024598038102,2,42
stmt_in_min,1.9903672688930245,2,42
stmt_in_max,0.8319186353209213,2,42
stmt_in_median,1.1686614439542944,2,42
stmt_out_sum,1.2913927081994128,2,42
stmt_out_mean,0.5323299325364788,2,42
stmt_out_std,1.303660378611761,2,42
stmt_out_min,0.6020940968156001,2,42
stmt_out_max,0.7336319135408046,2,42
stmt_out_median,1.1952213998919263,2,42
stmt_active_days,1.428273166252249,2,42
stmt_days_since_first,1.1818448359543199,2,42
stmt_days_since_last,1.3156953258100912,2,42
stmt_txn_intensity_per_day,0.7788053231246377,2,42
title,3.613552320232782,2,3407
career,2.9361804887787017,2,3407
zip_code,4.649552578711152,2,3407
residence,3.084786342374596,2,3407
loan,5.09941204978158,2,3407
term,3.1252560397774154,2,3407
interest_rate,11.3049253379991,2,3407
syndicated,0.20971955713000442,2,3407
installment,0.7485260615844824,2,3407
total_accounts,2.419122994368678,2,3407
balance_accounts,5.1530520100481025,2,3407
balance_limit,3.640314849489414,2,3407
balance,5.735053354317267,2,3407
level,5.951118435866664,2,3407
days_since_issue_time,5.953281609075289,2,3407
days_since_record_time,3.6455482581298764,2,3407
days_since_history_time,3.942501383465558,2,3407
stmt_txn_count,0.9347240892943828,2,3407
stmt_amt_sum,1.2847524203183234,2,3407
stmt_amt_mean,1.09117651335911,2,3407
stmt_amt_std,1.2324870091950129,2,3407
stmt_amt_min,3.1267840690193722,2,3407
stmt_amt_max,1.159323485992108,2,3407
stmt_amt_median,1.4547572500426655,2,3407
stmt_in_sum,1.0345761578526689,2,3407
stmt_in_mean,1.849311952121465,2,3407
stmt_in_std,1.528170542651231,2,3407
stmt_in_min,1.617108936132266,2,3407
stmt_in_max,0.8248545970243273,2,3407
stmt_in_median,1.2616738394451625,2,3407
stmt_out_sum,1.104714918387923,2,3407
stmt_out_mean,0.9130272913142199,2,3407
stmt_out_std,1.1233353518672662,2,3407
stmt_out_min,0.7188091342041467,2,3407
stmt_out_max,1.164183575601077,2,3407
stmt_out_median,1.2629946922826587,2,3407
stmt_active_days,0.9183068072387436,2,3407
stmt_days_since_first,1.3534116755369512,2,3407
stmt_days_since_last,0.7867321832710606,2,3407
stmt_txn_intensity_per_day,1.042879836717201,2,3407
title,4.971002090592428,3,42
career,2.741567074486945,3,42
zip_code,3.2266854383375225,3,42
residence,3.5666594676615695,3,42
loan,3.1973593144433847,3,42
term,5.491704199381958,3,42
interest_rate,16.43083712766223,3,42
syndicated,0.08044510112217781,3,42
installment,0.5687827313654394,3,42
total_accounts,1.8633531811074373,3,42
balance_accounts,6.397232105545522,3,42
balance_limit,2.686962563302218,3,42
balance,2.309188919439049,3,42
level,7.77532918446951,3,42
days_since_issue_time,4.313718704641176,3,42
days_since_record_time,3.7055955208115585,3,42
days_since_history_time,2.0865020247414763,3,42
stmt_txn_count,0.5291822907837703,3,42
stmt_amt_sum,1.3404916278355128,3,42
stmt_amt_mean,1.771628034014387,3,42
stmt_amt_std,0.9378160249429147,3,42
stmt_amt_min,5.749782557605859,3,42
stmt_amt_max,1.088537572356926,3,42
stmt_amt_median,0.9670880980337043,3,42
stmt_in_sum,1.2602034002702605,3,42
stmt_in_mean,1.206478133591798,3,42
stmt_in_std,1.4080608456030783,3,42
stmt_in_min,1.764329110831983,3,42
stmt_in_max,0.8692358116895943,3,42
stmt_in_median,0.9062772828010245,3,42
stmt_out_sum,1.0893524776189776,3,42
stmt_out_mean,1.0772802481634718,3,42
stmt_out_std,0.9197476986713189,3,42
stmt_out_min,0.7875391858566331,3,42
stmt_out_max,0.5066788411049744,3,42
stmt_out_median,1.3009563371814241,3,42
stmt_active_days,1.0169104019385238,3,42
stmt_days_since_first,0.6960916183713439,3,42
stmt_days_since_last,0.7201608817380868,3,42
stmt_txn_intensity_per_day,0.6732467698828586,3,42
title,3.401953218855129,3,3407
career,2.9940352408053643,3,3407
zip_code,4.08472837094712,3,3407
residence,2.921614500130303,3,3407
loan,3.7632474301966354,3,3407
term,5.098311064254293,3,3407
interest_rate,14.394554255618658,3,3407
syndicated,0.23112174261699212,3,3407
installment,0.6807029248220255,3,3407
total_accounts,2.5973191689148294,3,3407
balance_accounts,6.4320939124206955,3,3407
balance_limit,3.3146690779300263,3,3407
balance,3.707228285210467,3,3407
level,5.959675767972291,3,3407
days_since_issue_time,5.354621208339752,3,3407
days_since_record_time,3.726166135868796,3,3407
days_since_history_time,3.2513623939921863,3,3407
stmt_txn_count,0.8467958886665811,3,3407
stmt_amt_sum,0.9755233911146416,3,3407
stmt_amt_mean,0.9580977464508056,3,3407
stmt_amt_std,0.8186400494435456,3,3407
stmt_amt_min,4.539533132170312,3,3407
stmt_amt_max,0.8277924072141266,3,3407
stmt_amt_median,0.9476900332644143,3,3407
stmt_in_sum,1.028913778246485,3,3407
stmt_in_mean,1.1942393211824451,3,3407
stmt_in_std,1.7289902897027736,3,3407
stmt_in_min,1.7659528177677817,3,3407
stmt_in_max,0.9237766936806406,3,3407
stmt_in_median,1.403065232657638,3,3407
stmt_out_sum,1.2115598245401618,3,3407
