feature,importance,psi,miss_train,miss_test,miss_diff,decision
ratio__record_time__over__amt_180d_sum,0.05441374402106094,0.0010703248454467,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__record_time__over__amt_365d_sum,0.06794566270881655,0.0010703248454467,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__record_time__over__amt_sum,0.02149242172608142,0.0010703248454467,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__record_time__over__amt_90d_sum,0.0509082466508645,0.0010703248454467,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__record_time__over__amt_60d_sum,0.041459659363646414,0.0010703248454467,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__record_time__over__out_amt_sum,0.0954927340507385,0.0014686769557186,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__issue_time__over__zip_code,2.9993028437465776,0.000916778360524,0.0,0.0,0.0,KEEP
ratio__issue_time__over__balance_limit,1.6538648174061694,0.0005640472541222,0.0024308152580403,0.0023436720853695,-8.71431726708863e-05,KEEP
ratio__issue_time__over__amt_30d_sum,0.018479226269639493,0.0009407404027188,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__issue_time__over__amt_180d_sum,0.050641859844995786,0.0009407404027188,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__issue_time__over__amt_365d_sum,0.02370449257110126,0.0009407404027188,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__issue_time__over__amt_sum,0.013420851631100728,0.0009407404027188,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__issue_time__over__amt_90d_sum,0.038004676544323976,0.0009407404027188,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__issue_time__over__amt_60d_sum,0.0697046545658048,0.0009407404027188,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__issue_time__over__out_amt_sum,0.06966176032300686,0.001262134189772,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__zip_code__over__balance_limit,1.6289934900383751,0.0006459522709026,0.0024308152580403,0.0023436720853695,-8.71431726708863e-05,KEEP
ratio__zip_code__over__amt_30d_sum,0.026501817976320473,0.0009902315179683,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__zip_code__over__amt_180d_sum,0.028283585827715806,0.0009902315179683,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__zip_code__over__amt_365d_sum,0.04735532745025206,0.0009902315179683,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__zip_code__over__amt_sum,0.04841737144788274,0.0009902315179683,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__zip_code__over__amt_90d_sum,0.04344268051257847,0.0009902315179683,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__zip_code__over__amt_60d_sum,0.03450688196421704,0.0009902315179683,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__zip_code__over__out_amt_sum,0.07687709730020034,0.0014574223801424,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__balance_limit__over__amt_30d_sum,0.022306607531255303,0.0010731270787638,0.5954188481675393,0.5937468834147801,-0.0016719647527592,KEEP
ratio__balance_limit__over__amt_180d_sum,0.03488301041168536,0.0010731270787638,0.5954188481675393,0.5937468834147801,-0.0016719647527592,KEEP
ratio__balance_limit__over__amt_365d_sum,0.06711846535852287,0.0010731270787638,0.5954188481675393,0.5937468834147801,-0.0016719647527592,KEEP
ratio__balance_limit__over__amt_sum,0.054111037067210974,0.0010731270787638,0.5954188481675393,0.5937468834147801,-0.0016719647527592,KEEP
ratio__balance_limit__over__amt_90d_sum,0.036644230293096026,0.0010731270787638,0.5954188481675393,0.5937468834147801,-0.0016719647527592,KEEP
ratio__balance_limit__over__amt_60d_sum,0.023804978300252196,0.0010731270787638,0.5954188481675393,0.5937468834147801,-0.0016719647527592,KEEP
ratio__balance_limit__over__out_amt_sum,0.07508496099482954,0.0023014450489692,0.6092557965594615,0.6082078388351451,-0.0010479577243164,KEEP
ratio__amt_30d_sum__over__amt_180d_sum,0.0,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_30d_sum__over__amt_365d_sum,0.0,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_30d_sum__over__amt_sum,0.004436194472338508,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_30d_sum__over__amt_90d_sum,7.799068794355743e-05,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_30d_sum__over__amt_60d_sum,0.00010435006217421139,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_30d_sum__over__out_amt_sum,0.052116863691376025,0.0012950609165369,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__amt_180d_sum__over__amt_365d_sum,0.002560238255082074,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_180d_sum__over__amt_sum,0.0011237104579855048,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_180d_sum__over__amt_90d_sum,0.0,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_180d_sum__over__amt_60d_sum,0.014871266025828406,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_180d_sum__over__out_amt_sum,0.043603089088213275,0.0012950609165369,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__amt_365d_sum__over__amt_sum,0.04295781633765404,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_365d_sum__over__amt_90d_sum,0.0,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_365d_sum__over__amt_60d_sum,0.006695801867204867,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_365d_sum__over__out_amt_sum,0.04884638417723943,0.0012950609165369,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__amt_sum__over__amt_90d_sum,0.0008670496128411883,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_sum__over__amt_60d_sum,0.003957446369823725,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_sum__over__out_amt_sum,0.04035939575929613,0.0012950609165369,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__amt_90d_sum__over__amt_60d_sum,0.0877299668186646,,0.593735976065819,0.5921511917821881,-0.0015847842836308,KEEP
ratio__amt_90d_sum__over__out_amt_sum,0.06709522816739599,0.0012950609165369,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
ratio__amt_60d_sum__over__out_amt_sum,0.0638906165822539,0.0012950609165369,0.6075729244577412,0.6066121472025531,-0.0009607772551881,KEEP
