fold,AUC,KS,F1@0.5,Prec@0.5,Rec@0.5
1,0.6596040844293618,0.232839194491672,0.37179487179487175,0.2525857376156777,0.7040971168437026
2,0.659884984234629,0.22151699469927794,0.36418072945019053,0.24911562092720163,0.6767830045523521
3,0.66151716831928,0.2376056325940008,0.37295649764477695,0.25687022900763357,0.6804853387259858
4,0.6714026347635415,0.2494181813205179,0.3778351215537145,0.2583101207056639,0.7032355915065723
5,0.6662507588056833,0.24563952038609616,0.37266907876426386,0.25710445468509985,0.6769464105156724
