name,cv_auc_skf,cv_auc_time,skf_folds,time_folds,features,drop_cols,use_scale_pos_weight,submission
A_base_dropgeo_winz,0.638040430227244,0.6037932816901472,"[0.6379833273608766, 0.6423461503586694, 0.6346140999027846, 0.6439396100858004, 0.6406390808181114]","[0.5686715647688084, 0.5772769247945451, 0.6501206787949463, 0.6920316769125683]",44,"['zip_code', 'title', 'residence']",False,output_CAT/exp_v22_out/submission_A_base_dropgeo_winz.csv
B_drop_stmt_counts_keep_ewm,0.6392074928871186,0.603927082052703,"[0.6375646462591391, 0.6439871691095145, 0.6321805285996385, 0.6425976519414871, 0.6403191472334705]","[0.572076231219251, 0.5847586107616383, 0.6508714525728088, 0.691296295193163]",41,"['zip_code', 'title', 'residence', 'span_days', 'active_days', 'tx_count']",False,output_CAT/exp_v22_out/submission_B_drop_stmt_counts_keep_ewm.csv
C_base_scale_pos_weight,0.6380828743108352,0.6071763837100689,"[0.637508663542889, 0.6432662973663815, 0.6333285665142908, 0.6432354314527942, 0.6410032611537186]","[0.5721882448526892, 0.5812892363712525, 0.6479072248734083, 0.6911445923084255]",44,"['zip_code', 'title', 'residence']",True,output_CAT/exp_v22_out/submission_C_base_scale_pos_weight.csv
D_base_auto_psi,0.6399639209281593,0.6064039385084316,"[0.6397542956292349, 0.6423598414685502, 0.6344343293549531, 0.6431055907248604, 0.6412217113645837]","[0.5764942323849552, 0.5785100730426493, 0.6475122837593453, 0.6903658243582413]",39,"['zip_code', 'title', 'residence', 'record_dt', 'sum_expense_abs', 'amt_p90', 'amt_p50', 'last_tx_days_before_record']",False,output_CAT/exp_v22_out/submission_D_base_auto_psi.csv
E_base_drop_ewm,0.6397656575261575,0.6029405105673169,"[0.6385545831193372, 0.6429025547436998, 0.6342718399759131, 0.6423778099586388, 0.6411733472881671]","[0.5719501898215614, 0.581524326441993, 0.6483761647192486, 0.6929971446498919]",40,"['zip_code', 'title', 'residence', 'ewm_income', 'ewm_expense_abs', 'ewm_tx', 'ewm_income_expense_ratio']",False,output_CAT/exp_v22_out/submission_E_base_drop_ewm.csv
