trial,oof_auc,folds,iterations,learning_rate,depth,l2_leaf_reg,bootstrap_type,subsample,random_strength,one_hot_max_size
25,0.66553,"[0.669872, 0.665759, 0.663569, 0.662375, 0.667485]",4000,0.02136180767123883,7,11.631813798209603,Bernoulli,0.7346579926716692,2.5524255419592263,10
12,0.665253,"[0.667427, 0.674539, 0.669194, 0.657541, 0.657831]",5000,0.03715197880952618,8,11.667259847109365,Bernoulli,0.7650575520677909,2.334657850297055,10
27,0.665101,"[0.677888, 0.664447, 0.658354, 0.668217, 0.656857]",5000,0.03423323846650057,5,9.483220830418134,Bernoulli,0.6562853392772867,1.1612793440515201,10
1,0.665069,"[0.663999, 0.667186, 0.657017, 0.668845, 0.670832]",5000,0.01625843655128921,8,9.430806760439044,Bernoulli,0.6584928466398279,1.470777549123657,5
4,0.664683,"[0.670723, 0.657689, 0.655723, 0.666749, 0.674103]",5000,0.03228350574234644,5,7.699520989344149,Bernoulli,0.7689090950194134,2.7271432082387634,5
14,0.664589,"[0.666887, 0.671493, 0.66715, 0.660195, 0.658721]",4000,0.026760374113235955,6,10.7198382613111,Bernoulli,0.8712967850117487,1.9662410243361925,30
8,0.664554,"[0.669112, 0.653343, 0.671542, 0.661005, 0.669119]",4000,0.04616033744514422,5,7.692290622594858,Bernoulli,0.6646698313950281,2.578672170048224,10
7,0.664487,"[0.667412, 0.659042, 0.669683, 0.665341, 0.661904]",4000,0.04094331928054625,8,10.650964778876121,Bernoulli,0.7644281460468374,1.831769546491417,10
22,0.664321,"[0.672905, 0.663486, 0.671801, 0.659291, 0.656012]",4000,0.013367829873247307,6,6.923605451398174,Bernoulli,0.650606095861922,1.6740948510493885,10
9,0.664016,"[0.661264, 0.670303, 0.660718, 0.657496, 0.670724]",4000,0.039063090861428396,5,10.781626937752389,Bernoulli,0.8372644272371528,2.0778903903102477,5
30,0.663996,"[0.668777, 0.671569, 0.657981, 0.667734, 0.656516]",5000,0.01382915341179095,8,9.216849866512348,Bernoulli,0.6604196319095312,2.804089806117688,10
10,0.663978,"[0.660822, 0.668799, 0.665555, 0.6657, 0.65934]",5000,0.06283077262807259,6,12.605281190155287,Bernoulli,0.7259290849585925,2.219052090331653,20
18,0.663884,"[0.665339, 0.663367, 0.670982, 0.654578, 0.666237]",5000,0.06217615635411957,5,5.254029960882233,Bernoulli,0.8209132763769422,1.0553794303010733,20
23,0.663655,"[0.663795, 0.668004, 0.665325, 0.670863, 0.652493]",5000,0.02146220995850378,6,9.813986303244025,Bernoulli,0.6965268601243205,1.3738564098774353,20
28,0.66357,"[0.659097, 0.664112, 0.659322, 0.6692, 0.666852]",5000,0.02625560809970558,6,4.9352145846904065,Bernoulli,0.8242143456333627,1.8143052689761847,5
13,0.663547,"[0.668305, 0.662844, 0.665239, 0.658033, 0.663903]",4000,0.045007245686682816,5,11.00298420049446,Bernoulli,0.7163625845800485,2.037917300771661,10
11,0.663428,"[0.672325, 0.659897, 0.670437, 0.654526, 0.661316]",5000,0.05228335009939464,5,7.409359716532486,Bernoulli,0.8307144044836834,1.0217935247402985,20
5,0.663388,"[0.669893, 0.672099, 0.661855, 0.667457, 0.646997]",5000,0.016787965730703815,5,12.201808869778754,Bernoulli,0.8744134834626678,2.8568142627532884,20
17,0.663348,"[0.661128, 0.658086, 0.671676, 0.666339, 0.660542]",6000,0.057883228075302245,8,5.475408580701911,Bernoulli,0.7761579696762361,1.6024964962863733,10
19,0.66312,"[0.666917, 0.654371, 0.665322, 0.667361, 0.6623]",5000,0.04125811644731181,8,7.299785525620274,Bernoulli,0.6698419194807824,1.7361201473164005,5
6,0.662902,"[0.657678, 0.680293, 0.659259, 0.658844, 0.661317]",6000,0.05891092828468811,7,8.254146651445167,Bernoulli,0.7760017597903593,2.0209418936518944,30
2,0.66282,"[0.669528, 0.6601, 0.662518, 0.657935, 0.663818]",5000,0.021603234824566036,7,11.328145526904823,Bernoulli,0.6788185566707874,1.772550137268719,20
16,0.66271,"[0.6649, 0.658774, 0.667208, 0.663004, 0.661509]",6000,0.0174638018771735,6,13.03927199330352,Bernoulli,0.8083871514854325,2.065658927250944,10
26,0.662702,"[0.672684, 0.661921, 0.657069, 0.657605, 0.666233]",5000,0.03209072199737781,8,7.538981143103365,Bernoulli,0.871824709830625,2.200195487508762,30
3,0.662028,"[0.66023, 0.664572, 0.668355, 0.660798, 0.657291]",6000,0.015400703098932373,5,5.599486354233687,Bernoulli,0.8656618866874992,2.579790425212958,10
24,0.661534,"[0.653309, 0.654843, 0.665752, 0.663895, 0.670716]",5000,0.025289316185715886,6,6.734029787481478,Bernoulli,0.6673220002249061,1.9201789010119412,30
15,0.661268,"[0.651473, 0.664035, 0.666609, 0.659385, 0.66745]",6000,0.04519767790008096,7,4.122001685921365,Bernoulli,0.7424102900789817,2.1816004499382915,20
29,0.661215,"[0.663331, 0.661506, 0.658775, 0.659173, 0.662835]",4000,0.036809244601286734,7,6.624024528483213,Bernoulli,0.8297891981405694,1.9702929814906698,30
20,0.661188,"[0.644419, 0.677369, 0.668355, 0.656943, 0.664137]",4000,0.023611156352349276,7,6.22346628882136,Bernoulli,0.7053628337232863,1.7799397013953564,5
21,0.66111,"[0.66173, 0.663073, 0.657297, 0.650989, 0.673533]",6000,0.017374705115519827,7,13.150254046173107,Bernoulli,0.8313916554166079,2.5449229202127883,20
