active_days__as_cat,TE_active_days__as_cat
24.0,0.24257394937169116
25.0,0.17278799091970767
26.0,0.17248192470705562
27.0,0.21365346017875306
28.0,0.19005186069434882
29.0,0.2030921177940787
30.0,0.17392624827179803
31.0,0.1677133913483951
32.0,0.21893317605659326
33.0,0.1910163716446439
34.0,0.16957429568686114
35.0,0.22790762902019449
36.0,0.20888907816671415
37.0,0.19697340933123567
38.0,0.1989208248744524
39.0,0.1855946730149676
40.0,0.16468072176514587
41.0,0.19284976518655333
42.0,0.1776557765115006
43.0,0.1881340736052778
44.0,0.18516493436154025
45.0,0.1593782626786576
46.0,0.1945443300155342
47.0,0.1895768778715675
48.0,0.17851868898989318
49.0,0.19297143529451313
50.0,0.17416064156901853
51.0,0.1610909424669626
52.0,0.17751377510296298
53.0,0.18222236330198058
54.0,0.18290263001236395
55.0,0.17512017830363485
56.0,0.23268634880452382
57.0,0.17937874636219592
58.0,0.18250345312264604
59.0,0.1602386121093821
60.0,0.17294747137679076
61.0,0.19259625528603025
62.0,0.17482178051927638
63.0,0.20841801892621378
64.0,0.23153503903385494
65.0,0.1590727126418609
66.0,0.17298885284718363
67.0,0.19056019127991017
68.0,0.17225911186983886
69.0,0.1774790379089084
70.0,0.2075995238446385
71.0,0.20030764454354297
72.0,0.20968928245109883
73.0,0.18282479206279117
74.0,0.20993322579773094
75.0,0.17115292496197257
76.0,0.17147123579171364
77.0,0.18896513674846643
78.0,0.21659716223190653
79.0,0.17466880242423466
80.0,0.20481504809143278
81.0,0.20047034117714746
82.0,0.168545520437354
83.0,0.1807178696085764
84.0,0.21095374816030113
85.0,0.20764199471860548
86.0,0.1487821142460643
87.0,0.13998600622481724
88.0,0.16426849972100535
89.0,0.14494442608408273
90.0,0.19923754451378115
91.0,0.17393135264577037
92.0,0.18914859137372228
93.0,0.18886697944289568
94.0,0.2113649489221098
95.0,0.2212228870605834
96.0,0.20691104781001182
