loan__as_cat,TE_loan__as_cat
10000.0,0.1784849751418892
10050.0,0.14115313323143963
10400.0,0.1957670049097266
11000.0,0.17644904348094284
11050.0,0.19312847117236112
12000.0,0.19731238556911565
12950.0,0.19754145820760502
13000.0,0.19656048606059365
13050.0,0.15609834582804266
13200.0,0.1959543989455008
14000.0,0.158273082356852
15000.0,0.1680832256748487
15350.0,0.1921475462928287
15950.0,0.2256749121987364
16000.0,0.17608718880222246
16500.0,0.21687938813424373
17000.0,0.17608718880222246
17500.0,0.18968637772842242
20900.0,0.18985621055358295
21300.0,0.19530988695204674
23000.0,0.2020878228436157
25500.0,0.18024497082088706
26100.0,0.199890611311399
2850.0,0.1491109532818363
29900.0,0.2554517285257749
3000.0,0.2436335790860847
33050.0,0.2507387614690933
3700.0,0.14511160029280049
4000.0,0.20998724096968632
5000.0,0.23080134281887602
5200.0,0.1681897650484038
5300.0,0.17441920215590334
5950.0,0.15743080402766266
6000.0,0.19382412650924244
7000.0,0.17027920577163375
7200.0,0.154400737984858
7600.0,0.14368563373798976
7800.0,0.13463511058873812
8000.0,0.18975667711472927
8900.0,0.16769053641810863
9000.0,0.1789723987677104
9850.0,0.14037682088542225
