expense_count__as_cat,TE_expense_count__as_cat
100.0,0.19664256627607415
101.0,0.19914305625400455
22.0,0.23866516360583934
23.0,0.21997448193937263
24.0,0.19124107732860848
25.0,0.18435240588381951
26.0,0.21771511322586293
27.0,0.20380023637287537
28.0,0.18465220643231114
29.0,0.2606114435302917
30.0,0.14528135861674513
31.0,0.19945942309442685
32.0,0.1609026952530288
33.0,0.193045513726142
34.0,0.20123070646630856
35.0,0.18999056941237685
36.0,0.18532369317709632
37.0,0.16534136388090645
38.0,0.20957023358178803
39.0,0.2049535533009415
40.0,0.17376863973722614
41.0,0.18867821520017033
42.0,0.20536293787126725
43.0,0.18621141683691403
44.0,0.1790894711674044
45.0,0.22022072887346059
46.0,0.1882065391601667
47.0,0.1613640107034176
48.0,0.15642253512384513
49.0,0.19426879112742987
50.0,0.20844790795899512
51.0,0.20429745352598236
52.0,0.18400573970171372
53.0,0.16381714989660787
54.0,0.16981046025867888
55.0,0.14747130850102871
56.0,0.19200504398029386
57.0,0.2202424640649429
58.0,0.18617298364457094
59.0,0.1602920327308856
60.0,0.16867192805990425
61.0,0.18250323687431427
62.0,0.17711251684984936
63.0,0.17161228372638374
64.0,0.19445431768176874
65.0,0.20527093207247907
66.0,0.19916064156901853
67.0,0.16161857413122319
68.0,0.21566333608218424
69.0,0.17901316339195278
70.0,0.19243089906119518
71.0,0.19141370107942804
72.0,0.16778475756087938
73.0,0.18951692369792594
74.0,0.17883429265172945
75.0,0.18258807267356542
76.0,0.19445431768176874
77.0,0.17603413529460651
78.0,0.1785134893128404
79.0,0.23103866328381265
80.0,0.1613640107034176
81.0,0.18883401225143254
82.0,0.1667943892001913
83.0,0.17962819441107092
84.0,0.21813430786855137
85.0,0.22605607092344396
86.0,0.20598078785643628
87.0,0.146691378927729
88.0,0.2257355147595609
89.0,0.18262016297287723
90.0,0.17677280336218257
91.0,0.19937701807833338
92.0,0.1668690322392641
93.0,0.1732658852278372
94.0,0.17195326488520207
95.0,0.1875853798747659
96.0,0.18646694562924931
97.0,0.17932091706484854
98.0,0.12585683488054908
99.0,0.2702122733910318
