tx_count__as_cat,TE_tx_count__as_cat
100.0,0.15446142511079608
101.0,0.1860477947938252
102.0,0.1790711905895152
103.0,0.17248192470705562
104.0,0.12585683488054908
105.0,0.2734678429499599
106.0,0.19644507017466675
107.0,0.16024425979242016
108.0,0.24555633771833343
109.0,0.07805247897050235
110.0,0.19839756832121966
27.0,0.25071197291708536
28.0,0.16183330891594508
29.0,0.17690453816108268
30.0,0.2233696045552151
31.0,0.21594815936845943
32.0,0.2230640885493886
33.0,0.14011006768423873
34.0,0.19848915482423338
35.0,0.19737084274788835
36.0,0.1705435053602593
37.0,0.16680456179135697
38.0,0.20147441071706274
39.0,0.16382960252163695
40.0,0.20131203068214393
41.0,0.14209488499926637
42.0,0.19597748527316305
43.0,0.19762005196609797
44.0,0.21609674518669167
45.0,0.18208659809976713
46.0,0.18604713531811423
47.0,0.16989736557799387
48.0,0.20612184417380505
49.0,0.27227652046759054
50.0,0.19379919507069845
51.0,0.14841665734191603
52.0,0.15707429568686113
53.0,0.19597748527316305
54.0,0.17148519142451715
55.0,0.22480678135128399
56.0,0.18899276988282224
57.0,0.218337521456283
58.0,0.17061990417441147
59.0,0.15867302418349538
60.0,0.1804471132148631
61.0,0.13494443677943907
62.0,0.19198169425770525
63.0,0.22565943654948892
64.0,0.19968945582020264
65.0,0.15026876638694142
66.0,0.17274799690073855
67.0,0.1824096039653545
68.0,0.17767211596680557
69.0,0.1746457687043083
70.0,0.19332704627491784
71.0,0.19973042470935798
72.0,0.20691919934860575
73.0,0.15959263886775552
74.0,0.20770808847099048
75.0,0.1812441058827355
76.0,0.19322891460249023
77.0,0.18999342716620202
78.0,0.1755350803865222
79.0,0.18712155433942795
80.0,0.17935415978153102
81.0,0.18655572176514584
82.0,0.1926622608939785
83.0,0.17644310909503985
84.0,0.18139589812226903
85.0,0.2252387900486776
86.0,0.15948113490819954
87.0,0.18780601245733897
88.0,0.1688171294123347
89.0,0.19127445396718656
90.0,0.21999077006317733
91.0,0.22131673443055294
92.0,0.20230477298540125
93.0,0.15512341062079282
94.0,0.2366152963072481
95.0,0.18262016297287723
96.0,0.17367152611021447
97.0,0.20058232717170638
98.0,0.15934084493449466
99.0,0.1745986997295898
