total_accounts__as_cat,TE_total_accounts__as_cat
1.0,0.1859419322907887
10.0,0.17829470185491128
11.0,0.1856453576194876
12.0,0.17908605645673606
13.0,0.17168872556990017
14.0,0.18050955111538508
15.0,0.146356132839416
16.0,0.17929851698000632
17.0,0.18518009615671288
18.0,0.18493716647787342
19.0,0.18635372444088616
2.0,0.18335430619840848
20.0,0.17050030225100152
21.0,0.1876258892696248
22.0,0.16943232752267032
23.0,0.1931111612875912
24.0,0.18258543868175747
25.0,0.17764600737801553
26.0,0.15179633192687222
27.0,0.18251180681696763
28.0,0.19767460998147515
29.0,0.1804401364881263
3.0,0.1945221601670157
30.0,0.16301638637790397
31.0,0.18890211681190336
32.0,0.18741475647850764
33.0,0.17178687662980857
34.0,0.19258246718077013
35.0,0.20214002137397014
36.0,0.20767068194045324
37.0,0.19020962044116152
38.0,0.18030572176514587
39.0,0.15028439233967056
4.0,0.20062659228340698
40.0,0.15411825400939497
41.0,0.15667138042448045
42.0,0.18053971487910508
5.0,0.19551441868195793
6.0,0.20935581570886722
7.0,0.1923323060799366
8.0,0.17687285006105619
9.0,0.18916197181300912
