span_days__as_cat,TE_span_days__as_cat
101.0,0.2651666624144465
102.0,0.21103077647580265
103.0,0.1806858063402566
104.0,0.16077525934115963
105.0,0.22791323859386686
106.0,0.1806858063402566
107.0,0.20349396303023828
108.0,0.19574295686861132
109.0,0.18791323859386685
110.0,0.22791323859386686
111.0,0.16777967731595256
112.0,0.13206539160166683
113.0,0.24806781351283969
114.0,0.13695670240172858
115.0,0.23740962353527797
116.0,0.12326103216155572
117.0,0.21103077647580265
118.0,0.1680832256748487
119.0,0.22370623642127008
120.0,0.11205548378323248
121.0,0.14791323859386687
122.0,0.20296457469232337
123.0,0.1806858063402566
124.0,0.20349396303023828
125.0,0.21103077647580265
126.0,0.14222426787871814
127.0,0.14222426787871814
128.0,0.24806781351283969
129.0,0.19574295686861132
130.0,0.23095968844298867
131.0,0.13695670240172858
132.0,0.255818557789608
133.0,0.1806858063402566
134.0,0.23095968844298867
135.0,0.22640679308372563
136.0,0.1637836375499292
137.0,0.25995179921881495
138.0,0.20633682903929088
139.0,0.13422374185276204
140.0,0.13566264202015885
141.0,0.20203814510097232
142.0,0.15393382483883605
143.0,0.13381278407456418
144.0,0.2107358609976411
145.0,0.12362713065385977
146.0,0.14742086381096053
147.0,0.17750675438462596
148.0,0.1399605629972122
149.0,0.18908328184449286
150.0,0.17121704133508628
151.0,0.13065014606059752
152.0,0.1875675226460567
153.0,0.19628737022570647
154.0,0.15351094349693273
155.0,0.15925033318866944
156.0,0.17318225942487947
157.0,0.17867667193905287
158.0,0.2134555795737546
159.0,0.17992707554225879
160.0,0.19624508537351162
161.0,0.17613112164896788
162.0,0.20930309296493468
163.0,0.1804471132148631
164.0,0.18987951672227218
165.0,0.18778673608207352
166.0,0.19209892094984407
167.0,0.170466081798627
168.0,0.20619686957845257
169.0,0.16900161981451592
170.0,0.21141685539591298
171.0,0.17986768271311865
172.0,0.21829337877537802
173.0,0.21932978842595818
174.00000000000003,0.1827673481624663
175.00000000000003,0.20369813184520558
176.00000000000003,0.1807954392701178
177.00000000000003,0.21110942576911162
178.00000000000003,0.18878549433346029
179.00000000000003,0.16940943118953591
180.00000000000003,0.1749025443864636
